Sr. No.,Lease Name,Area,Document Name,condition_type,shortened_condition_text,condition_text,Evidence,clause_number,Priority,AI Validated,Location,Type,Assigned by,Assigned to,Progress Status,create date,deadline date,completion date,approved date,validation date,closure date
1175,Jhillingburu - I,210.53,EC,Water quality monitoring and preservation,Monitor water courses/bodies four times a year,"The Project Proponent shall undertake regular monitoring of natural water course/ water resources/ springs and perennial nallahs existing/ flowing in and around the mine lease including upstream and downstream. Sufficient number of gullies shall be provided at appropriate places within the lease for management of water. The parameters to be monitored shall include their water quality vis-à-vis suitability for usage as per CPCB criteria and flow rate. It shall be ensured that no obstruction and/ or alteration be made to water bodies during mining operations without justification and prior approval of MoEFCC. The monitoring of water courses/ bodies existing in lease area shall be carried out four times in a year viz. pre-monsoon (April May), monsoon (August), post-monsoon (November) and winter (January) and the record of monitored data may be sent regularly to Ministry of Environment, Forest and Climate Change and its Regional Office, Central Ground Water Authority and Regional Director, Central Ground Water Board, State Pollution Control Board and Central Pollution Control Board. Clearly showing the trend analysis on six-monthly basis.",pdf,4.11,2,0,Gua,Manganese Ore Mine,Shreyas,test_user,Approval Pending,1/1/2025,1/1/2025,1/21/2025,,12/31/2027,12/31/2027
1176,Jhillingburu - I,210.53,EC,Water quality monitoring and preservation,EC operational only after receiving formal clearance from CGWA,"In case, immediate mining scheme envisages intersection of ground water table, then Environmental Clearance shall become operational only after receiving formal clearance from CGWA. In case, mining operation involves intersection of ground water table at a later stage, then PP shall ensure that prior approval from CGWA and MoEFCC is in place before such mining operations. The permission for intersection of ground water table shall essentially be based on detailed hydro-geological study of the area.",pdf,4.12,4,1,Gua,Manganese Ore Mine,Naveen,Ankit,Approved,5/12/2025,5/12/2025,5/21/2025,5/24/2025,5/24/2025,5/24/2025
1177,Jhillingburu - I,210.53,EC,Water quality monitoring and preservation,Ensure prior approval from CGWA and MoEFCC before intersecting ground water table,"In case, immediate mining scheme envisages intersection of ground water table, then Environmental Clearance shall become operational only after receiving formal clearance from CGWA. In case, mining operation involves intersection of ground water table at a later stage, then PP shall ensure that prior approval from CGWA and MoEFCC is in place before such mining operations. The permission for intersection of ground water table shall essentially be based on detailed hydro-geological study of the area.",pdf,4.12,4,0,Gua,Manganese Ore Mine,,,Allocation Pending,,,,,12/31/2027,12/31/2027
1178,Jhillingburu - I,210.53,EC,Water quality monitoring and preservation,Monitor quality of polluted water generated from mining operations,"Quality of polluted water generated from mining operations which include Chemical Oxygen Demand (COD) in mines run-off; acid mine drainage and metal contamination in runoff shall be monitored along with Total Suspended Solids (TDS), Dissolved Oxygen (DO), pH and Total Suspended Solids (TSS). The monitored data shall be uploaded on the website of the company as well as displayed at the project site in public domain, on a display board, at a suitable location near the main gate of the Company. The circular No. J-20012/1/2006-IA.II (M) dated 27.05.2009 issued by Ministry of Environment, Forest and Climate Change may also be referred in this regard.",pdf,4.13,3,0,Gua,Manganese Ore Mine,,,Allocation Pending,,,,,12/31/2027,12/31/2027
1179,Jhillingburu - I,210.53,EC,Water quality monitoring and preservation,Upload and display monitored data on company website and display board,"Quality of polluted water generated from mining operations which include Chemical Oxygen Demand (COD) in mines run-off; acid mine drainage and metal contamination in runoff shall be monitored along with Total Suspended Solids (TDS), Dissolved Oxygen (DO), pH and Total Suspended Solids (TSS). The monitored data shall be uploaded on the website of the company as well as displayed at the project site in public domain, on a display board, at a suitable location near the main gate of the Company. The circular No. J-20012/1/2006-IA.II (M) dated 27.05.2009 issued by Ministry of Environment, Forest and Climate Change may also be referred in this regard.","pdf,image",4.13,2,0,Gua,Manganese Ore Mine,Ankit,Vinay,Evidence Pending,7/7/2025,7/7/2025,8/9/2025,,12/31/2027,12/31/2027
1180,Jhillingburu - I,210.53,EC,Water quality monitoring and preservation,"Plan, develop and implement rainwater harvesting measures","Project Proponent shall plan, develop and implement rainwater harvesting measures on long term basis to augment ground water resources in the area in consultation with Central Ground Water Board/ State Groundwater Department. A report on amount of water recharged needs to be submitted to Regional Office MoEFCC annually.","pdf,image",4.14,2,1,Gua,Manganese Ore Mine,Naveen,Ankit,Approved,11/9/2024,11/9/2024,11/30/2024,12/1/2024,12/1/2024,12/1/2024
1181,Jhillingburu - I,210.53,EC,Water quality monitoring and preservation,Submit report on amount of water recharged to Regional Office MoEFCC annually,"Project Proponent shall plan, develop and implement rainwater harvesting measures on long term basis to augment ground water resources in the area in consultation with Central Ground Water Board/ State Groundwater Department. A report on amount of water recharged needs to be submitted to Regional Office MoEFCC annually.",pdf,4.14,2,0,Gua,Manganese Ore Mine,Shreyas,test_user,Evidence Pending,4/3/2025,4/3/2025,5/7/2025,,12/31/2027,12/31/2027
1182,Jhillingburu - I,210.53,EC,Water quality monitoring and preservation,Monitor regularly ground water quality at least twice a year,"The project proponent shall monitor regularly ground water quality at least twice a year (pre and post monsoon) at sufficient numbers of piezometers/sampling wells in the plant and adjacent areas through labs recognised under Environment (Protection) Act, 1986 and NABL accredited laboratories.",pdf,4.15,3,0,Gua,Manganese Ore Mine,Shreyas,test_user,Evidence Pending,8/12/2025,8/12/2025,9/26/2025,,12/31/2027,12/31/2027
1183,Jhillingburu - I,210.53,EC,Water quality monitoring and preservation,Provide slime disposal facility with impervious lining and collection wells,The project proponent shall provide the slime disposal facility with impervious lining and collection wells for seepage. The water collected from the slime pond shall be treated and recycled.,"image,pdf",4.16,4,0,Gua,Manganese Ore Mine,Naveen,Ankit,Evidence Pending,7/23/2025,7/23/2025,8/31/2025,,12/31/2027,12/31/2027
1184,Jhillingburu - I,210.53,EC,Water quality monitoring and preservation,Treat and recycle water collected from the slime pond,The project proponent shall provide the slime disposal facility with impervious lining and collection wells for seepage. The water collected from the slime pond shall be treated and recycled.,"pdf,image",4.16,3,2,Gua,Manganese Ore Mine,Vinay,Anshul,Approved,5/21/2025,5/21/2025,6/8/2025,6/10/2025,6/10/2025,6/10/2025
1185,Jhillingburu - I,210.53,EC,Noise monitoring and prevention,Carry out noise level survey as per the prescribed guidelines,Noise level survey shall be carried as per the prescribed guidelines and report in this regard shall be submitted to Regional Officer of the Ministry as a part of six-monthly compliance report.,pdf,5.1,2,0,Gua,Manganese Ore Mine,Vinay,Anshul,Evidence Pending,4/19/2025,4/19/2025,5/23/2025,,12/31/2027,12/31/2027
1186,Jhillingburu - I,210.53,EC,Noise monitoring and prevention,Submit noise level survey report as part of six-monthly compliance report,Noise level survey shall be carried as per the prescribed guidelines and report in this regard shall be submitted to Regional Officer of the Ministry as a part of six-monthly compliance report.,pdf,5.1,2,1,Gua,Manganese Ore Mine,Naveen,Ankit,Approved,12/31/2024,12/31/2024,1/19/2025,1/22/2025,1/22/2025,1/22/2025
1187,Jhillingburu - I,210.53,EC,Noise monitoring and prevention,"Ensure ambient noise levels conform to standards (day 75 dB(A), night 70 dB(A))","The ambient noise levels should conform to the standards prescribed under E(P)A Rules, 1986 viz. 75 dB(A) during day time and 70 dB(A) during night time.",pdf,5.2,2,1,Gua,Manganese Ore Mine,Naveen,Ankit,Approved,6/20/2024,6/20/2024,7/15/2024,7/17/2024,7/17/2024,7/17/2024
1188,Jhillingburu - I,210.53,EC,Noise And Vibration Monitoring And Prevention,Monitor peak particle velocity periodically as per DGMS guidelines,"The peak particle velocity at 500m distance or within the nearest habitation, whichever is closer shall be monitored periodically as per applicable DGMS guidelines.",pdf,6.1,3,0,Gua,Manganese Ore Mine,Ankit,Vinay,Approval Pending,4/20/2025,4/20/2025,5/10/2025,,12/31/2027,12/31/2027
1189,Jhillingburu - I,210.53,EC,Noise And Vibration Monitoring And Prevention,Ensure biological clock of villages is not disturbed by illumination and sound,The illumination and sound at night at project sites disturb the villages in respect of both human and animal population. Consequent sleeping disorders and stress may affect the health in the villages located close to mining operations. Habitations have a right for darkness and minimal noise levels at night. PPs must ensure that the biological clock of the villages is not disturbed; by orienting the floodlights/ masks away from the villagers and keeping the noise levels well within the prescribed limits for day /night hours.,pdf,6.2,2,0,Gua,Manganese Ore Mine,Vinay,Anshul,Approval Pending,12/27/2024,12/27/2024,1/19/2025,,12/31/2027,12/31/2027
1190,Jhillingburu - I,210.53,EC,Noise And Vibration Monitoring And Prevention,Take measures for control of noise levels below 85 dBA,"The Project Proponent shall take measures for control of noise levels below 85 dBA in the work environment. The workers engaged in operations of HEMM, etc. should be provided with ear plugs /muffs. All personnel including laborers working in dusty areas shall be provided with protective respiratory devices along with adequate training, awareness and information on safety and health aspects. The PP shall be held responsible in case it has been found that workers/ personals/ laborers are working without personal protective equipment.",pdf,6.3,2,1,Gua,Manganese Ore Mine,Naveen,Ankit,Approved,3/24/2025,3/24/2025,4/2/2025,4/5/2025,4/5/2025,4/5/2025
1191,Jhillingburu - I,210.53,EC,Noise And Vibration Monitoring And Prevention,Provide workers engaged in HEMM with ear plugs/muffs,"The Project Proponent shall take measures for control of noise levels below 85 dBA in the work environment. The workers engaged in operations of HEMM, etc. should be provided with ear plugs /muffs. All personnel including laborers working in dusty areas shall be provided with protective respiratory devices along with adequate training, awareness and information on safety and health aspects. The PP shall be held responsible in case it has been found that workers/ personals/ laborers are working without personal protective equipment.",image,6.3,2,1,Gua,Manganese Ore Mine,Naveen,Ankit,Approved,2/9/2025,2/9/2025,2/25/2025,2/28/2025,2/28/2025,2/28/2025
1192,Jhillingburu - I,210.53,EC,Noise And Vibration Monitoring And Prevention,Provide personnel in dusty areas with protective respiratory devices,"The Project Proponent shall take measures for control of noise levels below 85 dBA in the work environment. The workers engaged in operations of HEMM, etc. should be provided with ear plugs /muffs. All personnel including laborers working in dusty areas shall be provided with protective respiratory devices along with adequate training, awareness and information on safety and health aspects. The PP shall be held responsible in case it has been found that workers/ personals/ laborers are working without personal protective equipment.",image,6.3,2,0,Gua,Manganese Ore Mine,Vinay,Anshul,Approval Pending,9/7/2024,9/7/2024,9/21/2024,,12/31/2027,12/31/2027
1193,Jhillingburu - I,210.53,EC,Mining Plan,Govern land-use of mine lease area as per approved Mining Plan,The land-use of the mine lease area at various stages of mining scheme as well as at the end-of-life shall be governed as per the approved Mining Plan. The excavation vis-à-vis backfilling in the mine lease area and corresponding afforestation to be raised in the reclaimed area shall be governed as per approved mining plan. PP shall ensure the monitoring and management of rehabilitated areas until the vegetation becomes self-sustaining. The compliance status shall be submitted half-yearly to the MoEFCC and its concerned Regional Office.,"pdf,kml",7.1,3,1,Gua,Manganese Ore Mine,Naveen,Ankit,Approved,4/2/2024,4/2/2024,4/22/2024,4/25/2024,4/25/2024,4/25/2024
1194,Jhillingburu - I,210.53,EC,Mining Plan,Ensure monitoring and management of rehabilitated areas,The land-use of the mine lease area at various stages of mining scheme as well as at the end-of-life shall be governed as per the approved Mining Plan. The excavation vis-à-vis backfilling in the mine lease area and corresponding afforestation to be raised in the reclaimed area shall be governed as per approved mining plan. PP shall ensure the monitoring and management of rehabilitated areas until the vegetation becomes self-sustaining. The compliance status shall be submitted half-yearly to the MoEFCC and its concerned Regional Office.,"pdf,image",7.1,3,1,Gua,Manganese Ore Mine,Naveen,Ankit,Approved,3/15/2024,3/15/2024,3/30/2024,4/2/2024,4/2/2024,4/2/2024
1195,Jhillingburu - I,210.53,EC,Mining Plan,Submit compliance status half-yearly to MoEFCC and Regional Office,The land-use of the mine lease area at various stages of mining scheme as well as at the end-of-life shall be governed as per the approved Mining Plan. The excavation vis-à-vis backfilling in the mine lease area and corresponding afforestation to be raised in the reclaimed area shall be governed as per approved mining plan. PP shall ensure the monitoring and management of rehabilitated areas until the vegetation becomes self-sustaining. The compliance status shall be submitted half-yearly to the MoEFCC and its concerned Regional Office.,pdf,7.1,2,0,Gua,Manganese Ore Mine,,,Allocation Pending,,,,,12/31/2027,12/31/2027
1196,Jhillingburu - I,210.53,EC,Mining Plan,Adhere to approved mining plan,"The Project Proponent shall adhere to approved mining plan, inter alia, including, total excavation (quantum of mineral, waste, over burden, inter burden and top soil etc.); mining technology; lease area; scope of working ( method of mining, overburden & dump management, O.B& dump mining, mineral transportation mode, ultimate depth of mining, concurrent reclamation and reclamation at mine closure; land-use of the mine lease area at various stages of mining scheme as well as at the end-of-life; etc.).",pdf,7.2,3,1,Gua,Manganese Ore Mine,Shreyas,test_user,Approved,10/10/2024,10/10/2024,10/23/2024,10/26/2024,10/26/2024,10/26/2024
1197,Jhillingburu - I,210.53,EC,Energy Conservation measures,Provide LED lights in their offices and residential areas,Provide LED lights in their offices and residential areas.,image,8.1,1,0,Gua,Manganese Ore Mine,,,Allocation Pending,,,,,12/31/2027,12/31/2027
1198,Jhillingburu - I,210.53,EC,Energy Conservation measures,Provide and maintain solar power generation on roof tops,"Provide solar power generation on roof tops of buildings, for solar light system for all common areas, street lights, parking around project area and maintain the same regularly;","image,pdf",8.2,2,1,Gua,Manganese Ore Mine,Shreyas,test_user,Approved,7/15/2024,7/15/2024,8/12/2024,8/13/2024,8/13/2024,8/13/2024
1199,Jhillingburu - I,210.53,EC,Land Reclamation,Catch drains of appropriate size should be constructed for the working pit,"Catch drains, settling tanks and siltation ponds of appropriate size shall be constructed around the mine working, mineral yards and Top Soil/OB/Waste dumps to prevent run off of water and flow of sediments directly into the water bodies (Nallah/ River/ Pond etc.). The collected water should be utilized for watering the mine area, roads, green belt development, plantation etc. The drains/ sedimentation sumps etc. shall be de-silted regularly, particularly after monsoon season, and maintained properly.",image,9.1,3,1,Gua,Manganese Ore Mine,Shreyas,test_user,Approved,5/24/2025,5/24/2025,6/9/2025,6/10/2025,6/10/2025,6/10/2025
1200,Jhillingburu - I,210.53,EC,Land Reclamation,Settling tanks of appropriate size should be constructed for the working pit,"Catch drains, settling tanks and siltation ponds of appropriate size shall be constructed around the mine working, mineral yards and Top Soil/OB/Waste dumps to prevent run off of water and flow of sediments directly into the water bodies (Nallah/ River/ Pond etc.). The collected water should be utilized for watering the mine area, roads, green belt development, plantation etc. The drains/ sedimentation sumps etc. shall be de-silted regularly, particularly after monsoon season, and maintained properly.",image,9.1,3,1,Gua,Manganese Ore Mine,Shreyas,test_user,Approved,5/4/2025,5/4/2025,5/14/2025,5/17/2025,5/17/2025,5/17/2025
1201,Jhillingburu - I,210.53,EC,Land Reclamation,Catch drains of appropriate size should be constructed temporary OB dumps,"Catch drains, settling tanks and siltation ponds of appropriate size shall be constructed around the mine working, mineral yards and Top Soil/OB/Waste dumps to prevent run off of water and flow of sediments directly into the water bodies (Nallah/ River/ Pond etc.). The collected water should be utilized for watering the mine area, roads, green belt development, plantation etc. The drains/ sedimentation sumps etc. shall be de-silted regularly, particularly after monsoon season, and maintained properly.",image,9.1,3,0,Gua,Manganese Ore Mine,Naveen,test_user_SUPER,Approval Pending,3/26/2025,3/26/2025,4/10/2025,,12/31/2027,12/31/2027
1202,Jhillingburu - I,210.53,EC,Land Reclamation,Settling tanks of appropriate size should be constructed for the temporary OB dumps,"Catch drains, settling tanks and siltation ponds of appropriate size shall be constructed around the mine working, mineral yards and Top Soil/OB/Waste dumps to prevent run off of water and flow of sediments directly into the water bodies (Nallah/ River/ Pond etc.). The collected water should be utilized for watering the mine area, roads, green belt development, plantation etc. The drains/ sedimentation sumps etc. shall be de-silted regularly, particularly after monsoon season, and maintained properly.",image,9.1,3,0,Gua,Manganese Ore Mine,,,Allocation Pending,,,,,12/31/2027,12/31/2027
1203,Jhillingburu - I,210.53,EC,Land Reclamation,Catch drains and siltation ponds of appropriate size should be constructed for the mineral dumps (if),"Catch drains, settling tanks and siltation ponds of appropriate size shall be constructed around the mine working, mineral yards and Top Soil/OB/Waste dumps to prevent run off of water and flow of sediments directly into the water bodies (Nallah/ River/ Pond etc.). The collected water should be utilized for watering the mine area, roads, green belt development, plantation etc. The drains/ sedimentation sumps etc. shall be de-silted regularly, particularly after monsoon season, and maintained properly.",image,9.1,2,0,Gua,Manganese Ore Mine,,,Allocation Pending,,,,,12/31/2027,12/31/2027
1204,Jhillingburu - I,210.53,EC,Land Reclamation,The water should be utilized for watering the mines road,"Catch drains, settling tanks and siltation ponds of appropriate size shall be constructed around the mine working, mineral yards and Top Soil/OB/Waste dumps to prevent run off of water and flow of sediments directly into the water bodies (Nallah/ River/ Pond etc.). The collected water should be utilized for watering the mine area, roads, green belt development, plantation etc. The drains/ sedimentation sumps etc. shall be de-silted regularly, particularly after monsoon season, and maintained properly.",image,9.1,1,0,Gua,Manganese Ore Mine,,,Allocation Pending,,,,,12/31/2027,12/31/2027
1205,Jhillingburu - I,210.53,EC,Land Reclamation,The water should be utilized for watering the greenbelt development area,"Catch drains, settling tanks and siltation ponds of appropriate size shall be constructed around the mine working, mineral yards and Top Soil/OB/Waste dumps to prevent run off of water and flow of sediments directly into the water bodies (Nallah/ River/ Pond etc.). The collected water should be utilized for watering the mine area, roads, green belt development, plantation etc. The drains/ sedimentation sumps etc. shall be de-silted regularly, particularly after monsoon season, and maintained properly.",image,9.1,1,0,Gua,Manganese Ore Mine,,,Allocation Pending,,,,,12/31/2027,12/31/2027
1206,Jhillingburu - I,210.53,EC,Land Reclamation,"The drains should be regularly desilted, particularly after monsoon","Catch drains, settling tanks and siltation ponds of appropriate size shall be constructed around the mine working, mineral yards and Top Soil/OB/Waste dumps to prevent run off of water and flow of sediments directly into the water bodies (Nallah/ River/ Pond etc.). The collected water should be utilized for watering the mine area, roads, green belt development, plantation etc. The drains/ sedimentation sumps etc. shall be de-silted regularly, particularly after monsoon season, and maintained properly.","image,pdf",9.1,2,0,Gua,Manganese Ore Mine,Naveen,Ankit,Approval Pending,10/13/2024,10/13/2024,10/28/2024,,12/31/2027,12/31/2027
1207,Jhillingburu - I,210.53,EC,Land Reclamation,"Construct check dams of appropriate size, gradient and length","Check dams of appropriate size, gradient and length shall be constructed around mine pit and OB dumps to prevent storm run-off and sediment flow into adjoining water bodies. A safety margin of 50% shall be kept for designing of sump structures over and above peak rainfall (based on 50 years data) and maximum discharge in the mine and its adjoining area which shall also help in providing adequate retention time period thereby allowing proper settling of sediments/ silt material. The sedimentation pits/ sumps shall be constructed at the corners of the garland drains.",image,9.2,3,0,Gua,Manganese Ore Mine,Naveen,test_user_SUPER,Approval Pending,3/4/2025,3/4/2025,3/17/2025,,12/31/2027,12/31/2027
1208,Jhillingburu - I,210.53,EC,Land Reclamation,Keep 50% safety margin for designing of sump structures,"Check dams of appropriate size, gradient and length shall be constructed around mine pit and OB dumps to prevent storm run-off and sediment flow into adjoining water bodies. A safety margin of 50% shall be kept for designing of sump structures over and above peak rainfall (based on 50 years data) and maximum discharge in the mine and its adjoining area which shall also help in providing adequate retention time period thereby allowing proper settling of sediments/ silt material. The sedimentation pits/ sumps shall be constructed at the corners of the garland drains.",pdf,9.2,3,0,Gua,Manganese Ore Mine,,,Allocation Pending,,,,,12/31/2027,12/31/2027
1209,Jhillingburu - I,210.53,EC,Land Reclamation,Construct sedimentation pits/sumps at corners of garland drains,"Check dams of appropriate size, gradient and length shall be constructed around mine pit and OB dumps to prevent storm run-off and sediment flow into adjoining water bodies. A safety margin of 50% shall be kept for designing of sump structures over and above peak rainfall (based on 50 years data) and maximum discharge in the mine and its adjoining area which shall also help in providing adequate retention time period thereby allowing proper settling of sediments/ silt material. The sedimentation pits/ sumps shall be constructed at the corners of the garland drains.",image,9.2,2,1,Gua,Manganese Ore Mine,Shreyas,test_user,Approved,10/17/2024,10/17/2024,10/28/2024,10/29/2024,10/29/2024,10/29/2024
1210,Jhillingburu - I,210.53,EC,Land Reclamation,Vegetate slope of dumps in scientific manner with suitable native species,"The slope of dumps shall be vegetated in scientific manner with suitable native species to maintain the slope stability, prevent erosion and surface run off. The selection of local species regulates local climatic parameters and help in adaptation of plant species to the microclimate. The gullies formed on slopes should be adequately taken care of as it impacts the overall stability of dumps. The dump mass should be consolidated with the help of dozer/ compactors thereby ensuring proper filling/ leveling of dump mass. In critical areas, use of geo textiles/ geo-membranes / clay liners / Bentonite etc. shall be undertaken for stabilization of the dump.","image,pdf",9.3,3,1,Gua,Manganese Ore Mine,Shreyas,test_user,Approved,7/25/2024,7/25/2024,8/1/2024,8/3/2024,8/3/2024,8/3/2024
1211,Jhillingburu - I,210.53,EC,Land Reclamation,Adequately take care of gullies formed on slopes,"The slope of dumps shall be vegetated in scientific manner with suitable native species to maintain the slope stability, prevent erosion and surface run off. The selection of local species regulates local climatic parameters and help in adaptation of plant species to the microclimate. The gullies formed on slopes should be adequately taken care of as it impacts the overall stability of dumps. The dump mass should be consolidated with the help of dozer/ compactors thereby ensuring proper filling/ leveling of dump mass. In critical areas, use of geo textiles/ geo-membranes / clay liners / Bentonite etc. shall be undertaken for stabilization of the dump.","image,pdf",9.3,2,0,Gua,Manganese Ore Mine,,,Allocation Pending,,,,,12/31/2027,12/31/2027
1212,Jhillingburu - I,210.53,EC,Land Reclamation,Consolidate dump mass with help of dozer/compactors,"The slope of dumps shall be vegetated in scientific manner with suitable native species to maintain the slope stability, prevent erosion and surface run off. The selection of local species regulates local climatic parameters and help in adaptation of plant species to the microclimate. The gullies formed on slopes should be adequately taken care of as it impacts the overall stability of dumps. The dump mass should be consolidated with the help of dozer/ compactors thereby ensuring proper filling/ leveling of dump mass. In critical areas, use of geo textiles/ geo-membranes / clay liners / Bentonite etc. shall be undertaken for stabilization of the dump.",image,9.3,2,0,Gua,Manganese Ore Mine,,,Allocation Pending,,,,,12/31/2027,12/31/2027
1213,Jhillingburu - I,210.53,EC,Land Reclamation,Undertake stabilization of dump in critical areas,"The slope of dumps shall be vegetated in scientific manner with suitable native species to maintain the slope stability, prevent erosion and surface run off. The selection of local species regulates local climatic parameters and help in adaptation of plant species to the microclimate. The gullies formed on slopes should be adequately taken care of as it impacts the overall stability of dumps. The dump mass should be consolidated with the help of dozer/ compactors thereby ensuring proper filling/ leveling of dump mass. In critical areas, use of geo textiles/ geo-membranes / clay liners / Bentonite etc. shall be undertaken for stabilization of the dump.","image,pdf",9.3,3,1,Gua,Manganese Ore Mine,Shreyas,test_user,Approved,7/31/2024,7/31/2024,8/14/2024,8/17/2024,8/17/2024,8/17/2024
1214,Jhillingburu - I,210.53,EC,Land Reclamation,"Stack Overburden (O.B.), waste and topsoil at earmarked OB dump site(s) only","The Overburden (O.B.), waste and topsoil generated during the mining operations shall be stacked at earmarked OB dump site(s) only and it should not be kept active for a long period of time. The physical parameters of the OB / waste dumps / topsoil dump like height, width and angle of slope shall be governed as per the approved Mining Plan and the guidelines/circulars issued by D.G.M.S. The topsoil shall be used for land reclamation and plantation.",image,9.4,2,1,Gua,Manganese Ore Mine,Shreyas,test_user,Approved,4/1/2024,4/1/2024,4/13/2024,4/16/2024,4/16/2024,4/16/2024
1215,Jhillingburu - I,210.53,EC,Land Reclamation,Physical parameters of dump shall be governed as per approved Mining Plan,"The Overburden (O.B.), waste and topsoil generated during the mining operations shall be stacked at earmarked OB dump site(s) only and it should not be kept active for a long period of time. The physical parameters of the OB / waste dumps / topsoil dump like height, width and angle of slope shall be governed as per the approved Mining Plan and the guidelines/circulars issued by D.G.M.S. The topsoil shall be used for land reclamation and plantation.",pdf,9.4,2,0,Gua,Manganese Ore Mine,Ankit,Vinay,Approval Pending,2/26/2025,2/26/2025,3/24/2025,,12/31/2027,12/31/2027
1216,Jhillingburu - I,210.53,EC,Land Reclamation,Use topsoil for land reclamation and plantation,"The Overburden (O.B.), waste and topsoil generated during the mining operations shall be stacked at earmarked OB dump site(s) only and it should not be kept active for a long period of time. The physical parameters of the OB / waste dumps / topsoil dump like height, width and angle of slope shall be governed as per the approved Mining Plan and the guidelines/circulars issued by D.G.M.S. The topsoil shall be used for land reclamation and plantation.","image,pdf",9.4,3,1,Gua,Manganese Ore Mine,Shreyas,test_user,Approved,4/13/2024,4/13/2024,5/1/2024,5/4/2024,5/4/2024,5/4/2024
1217,Jhillingburu - I,210.53,EC,Waste Management,Compost or convert kitchen waste to biogas,Kitchen waste shall be composted or converted to biogas for further use.(to be decided on case to case basis depending on type and size of plant),"image,pdf",10.1,1,0,Gua,Manganese Ore Mine,Ankit,Shreyas,Evidence Pending,8/1/2025,8/1/2025,9/10/2025,,12/31/2027,12/31/2027
1218,Jhillingburu - I,210.53,EC,Waste Management,"Dispose of waste oil, grease and other hazardous waste as per Rules, 2016","The waste oil, grease and other hazardous waste shall be disposed of as per the Hazardous & Other waste (Management & Transboundary Movement) Rules, 2016.",pdf,10.2,3,0,Gua,Manganese Ore Mine,Naveen,Ankit,Evidence Pending,5/15/2025,5/15/2025,6/18/2025,,12/31/2027,12/31/2027
1219,Jhillingburu - I,210.53,EC,Transportation,Provide main haulage road with permanent water sprinkling arrangement,"The Main haulage road within the mine lease should be provided with a permanent water sprinkling arrangement for dust suppression. Other roads within the mine lease should be wetted regularly with tanker-mounted water sprinkling system. The other areas of dust generation like crushing zone, material transfer points, material yards etc. should invariably be provided with dust suppression arrangements. The air pollution control equipments like bag filters, vacuum suction hoods, dry fogging system etc. shall be installed at Crushers, belt-conveyors and other areas prone to air pollution. The belt conveyor should be fully covered to avoid generation of dust while transportation. PP shall take necessary measures to avoid generation of fugitive dust emissions.",image,11.1,2,0,Gua,Manganese Ore Mine,Vinay,Anshul,Approval Pending,3/26/2025,3/26/2025,4/11/2025,,12/31/2027,12/31/2027
1220,Jhillingburu - I,210.53,EC,Transportation,Wet other roads regularly with tanker-mounted water sprinkling system,"The Main haulage road within the mine lease should be provided with a permanent water sprinkling arrangement for dust suppression. Other roads within the mine lease should be wetted regularly with tanker-mounted water sprinkling system. The other areas of dust generation like crushing zone, material transfer points, material yards etc. should invariably be provided with dust suppression arrangements. The air pollution control equipments like bag filters, vacuum suction hoods, dry fogging system etc. shall be installed at Crushers, belt-conveyors and other areas prone to air pollution. The belt conveyor should be fully covered to avoid generation of dust while transportation. PP shall take necessary measures to avoid generation of fugitive dust emissions.",image,11.1,2,1,Gua,Manganese Ore Mine,Shreyas,test_user,Approved,8/19/2024,8/19/2024,9/3/2024,9/6/2024,9/6/2024,9/6/2024
1221,Jhillingburu - I,210.53,EC,Transportation,Provide other areas of dust generation with dust suppression arrangements,"The Main haulage road within the mine lease should be provided with a permanent water sprinkling arrangement for dust suppression. Other roads within the mine lease should be wetted regularly with tanker-mounted water sprinkling system. The other areas of dust generation like crushing zone, material transfer points, material yards etc. should invariably be provided with dust suppression arrangements. The air pollution control equipments like bag filters, vacuum suction hoods, dry fogging system etc. shall be installed at Crushers, belt-conveyors and other areas prone to air pollution. The belt conveyor should be fully covered to avoid generation of dust while transportation. PP shall take necessary measures to avoid generation of fugitive dust emissions.",image,11.1,2,0,Gua,Manganese Ore Mine,,,Allocation Pending,,,,,12/31/2027,12/31/2027
1222,Jhillingburu - I,210.53,EC,Transportation,"Install air pollution control equipments at Crushers, belt-conveyors etc.","The Main haulage road within the mine lease should be provided with a permanent water sprinkling arrangement for dust suppression. Other roads within the mine lease should be wetted regularly with tanker-mounted water sprinkling system. The other areas of dust generation like crushing zone, material transfer points, material yards etc. should invariably be provided with dust suppression arrangements. The air pollution control equipments like bag filters, vacuum suction hoods, dry fogging system etc. shall be installed at Crushers, belt-conveyors and other areas prone to air pollution. The belt conveyor should be fully covered to avoid generation of dust while transportation. PP shall take necessary measures to avoid generation of fugitive dust emissions.",image,11.1,3,0,Gua,Manganese Ore Mine,Ankit,Vinay,Evidence Pending,8/25/2025,8/25/2025,9/29/2025,,12/31/2027,12/31/2027
